"Name","Loyalty to political group","Loyalty to national party","Participation in roll-call votes","","",""
"CASA","95.24","100.00","61.34","368","1","730"
"MOTTI","95.26","96.98","78.84","366","606","591"
"SCHÖPFLIN","95.26","98.57","94.54","366","343","81"
"MARTÍNEZ MARTÍNEZ","95.27","98.57","89.54","364","343","282"
"ZEMKE","95.27","98.59","97.49","364","338","14"
"JUVIN","95.30","97.30","84.13","363","563","469"
"DUŠEK","95.31","95.96","88.51","361","679","323"
"ROMERO LÓPEZ","95.31","99.19","82.95","361","212","508"
"GODMANIS","95.32","100.00","64.26","359","1","718"
"SOUSA","95.32","100.00","93.29","359","1","138"
"BAUER","95.33","100.00","96.22","357","1","34"
"WINKLER","95.33","100.00","85.85","357","1","425"
"HANKISS","95.34","98.59","67.50","355","338","699"
"VERHEYEN","95.34","96.99","85.45","355","603","438"
"ŢICĂU","95.35","96.94","75.75","354","615","638"
"GUTIÉRREZ-CORTINES","95.37","96.80","74.13","352","634","651"
"WATSON","95.37","97.76","85.42","352","502","439"
"NICHOLSON","95.38","100.00","87.80","350","1","351"
"REUL","95.38","96.99","90.48","350","603","243"
"CANCIAN","95.39","97.14","85.73","349","586","431"
"MACOVEI","95.41","95.57","87.09","348","691","380"
"KOVATCHEV","95.42","97.32","88.19","347","561","335"
"OBIOLS","95.44","98.97","81.86","345","250","530"
"SOPHOCLEOUS","95.44","100.00","68.92","345","1","688"
"BONSIGNORE","95.45","96.20","65.62","344","671","712"
"ŐRY","95.46","98.61","94.30","343","335","92"
"GARDINI","95.47","96.78","90.42","341","637","249"
"ILCHEV","95.47","100.00","91.84","341","1","195"
"FERNANDES","95.48","98.71","94.01","340","316","102"
"CASPARY","95.52","96.99","91.67","334","603","199"
"GÁL","95.52","98.59","92.67","334","338","162"
"IRIGOYEN PÉREZ","95.52","98.93","97.35","334","261","16"
"MASTELLA","95.52","100.00","53.30","334","1","749"
"PONGA","95.52","98.37","80.20","334","384","565"
"SEDÓ i ALABART","95.52","100.00","83.46","334","1","489"
"GÁLL-PELCZ","95.53","98.82","90.46","331","286","244"
"PAKARINEN","95.53","97.84","44.71","331","486","758"
"SIMON","95.53","98.33","91.93","331","390","189"
"PRENDERGAST","95.54","100.00","85.57","328","1","435"
"SEHNALOVÁ","95.54","96.28","94.91","328","666","70"
"ZALBA BIDEGAIN","95.54","97.96","87.20","328","467","372"
"BORYS","95.55","98.42","89.35","324","370","294"
"GUTIÉRREZ PRIETO","95.55","99.05","70.77","324","236","673"
"HÜBNER","95.55","97.62","89.40","324","529","292"
"KREHL","95.55","98.24","90.03","324","406","265"
"COZZOLINO","95.56","96.66","67.68","321","642","697"
"MATHIEU HOUILLON","95.56","97.66","86.01","321","522","415"
"SARYUSZ-WOLSKI","95.56","98.23","83.44","321","409","490"
"VAIDERE","95.59","98.38","85.07","320","380","449"
"GRZYB","95.60","98.89","91.08","318","271","217"
"LOPE FONTAGNÉ","95.60","98.70","87.29","318","320","367"
"BERTOT","95.61","97.06","97.31","316","593","19"
"HANDZLIK","95.61","98.98","91.94","316","248","188"
"EVANS","95.63","100.00","89.80","313","1","270"
"RIQUET","95.63","100.00","90.00","313","1","266"
"SANCHEZ-SCHMID","95.63","98.81","85.89","313","291","421"
"ENGSTRÖM","95.66","100.00","92.26","312","1","174"
"GROSSETÊTE","95.69","98.48","95.59","311","357","53"
"PROTASIEWICZ","95.72","99.04","72.22","309","238","662"
"VLASTO","95.72","97.25","67.06","309","569","702"
"JAZŁOWIECKA","95.74","98.43","86.32","308","368","404"
"GEIER","95.75","98.83","93.19","306","285","142"
"GROOTE","95.75","98.52","90.49","306","349","240"
"FRANCO","95.76","98.44","66.44","305","366","710"
"DANTIN","95.77","98.68","88.02","301","324","342"
"JAAKONSAARI","95.77","100.00","93.71","301","1","120"
"MAZZONI","95.77","97.64","82.93","301","526","509"
"SAÏFI","95.77","99.47","91.37","301","171","208"
"HERRANZ GARCÍA","95.78","98.45","78.60","300","362","593"
"DAVID","95.79","96.93","69.56","298","618","680"
"MATO ADROVER","95.79","98.47","90.43","298","358","248"
"LISEK","95.80","98.32","94.12","296","392","99"
"NEUSER","95.80","98.07","94.81","296","440","72"
"HORTEFEUX","95.81","97.70","91.92","295","515","191"
"SCHWAB","95.83","96.50","92.04","291","648","182"
"SCURRIA","95.83","100.00","80.32","291","1","563"
"VOSS","95.83","97.20","92.10","291","577","179"
"WAŁĘSA","95.83","98.70","82.99","291","320","506"
"GOMES","95.84","97.09","85.23","290","590","444"
"PALIADELI","95.85","99.06","67.46","289","231","700"
"BOULLAND","95.86","98.51","88.65","288","351","317"
"COSTELLO","95.87","100.00","86.63","286","1","393"
"KALFIN","95.87","98.29","84.96","286","397","450"
"COFFERATI","95.88","96.50","92.77","285","648","156"
"SIPPEL","95.89","98.47","87.39","283","358","365"
"TATARELLA","95.89","100.00","65.42","283","1","713"
"AYUSO","95.90","98.29","77.46","280","397","618"
"BODU","95.90","100.00","91.06","280","1","219"
"ULMER","95.90","96.94","88.32","280","615","332"
"MICHELS","95.91","97.10","97.74","278","589","13"
"TAYLOR","95.91","98.71","85.85","278","316","425"
"ALVES","95.92","97.43","94.27","276","548","93"
"SILVESTRIS","95.92","97.03","98.29","276","595","7"
"GRANDES PASCUAL","95.93","98.82","77.99","274","286","612"
"LANDSBERGIS","95.93","97.54","66.71","274","540","707"
"KALINOWSKI","95.94","99.18","91.19","272","214","212"
"SKRZYDLEWSKA","95.94","99.10","93.72","272","225","117"
