Name,Party,Country,Loyalty to political group,Loyalty to national party,Participation in roll-call votes,,,
ZALA Boris,S&D,Slovakia,97.55,98.37,81.34
PONGA Maurice,EPP,France,95.52,98.37,80.20
VALJALO Oleg,S&D,Croatia,97.44,98.36,76.65
PORĘBA Tomasz Piotr,ECR,Poland,86.73,98.35,80.58
REGNER Evelyn,S&D,Austria,91.88,98.35,91.42
HARBOUR Malcolm,ECR,United Kingdom,96.53,98.35,93.38
JIMÉNEZ-BECERRIL BARRIO Teresa,EPP,Spain,96.34,98.33,81.70
SIMON Peter,S&D,Germany,95.53,98.33,91.93
MERKIES Judith A.,S&D,Netherlands,92.66,98.32,91.44
LISEK Krzysztof,EPP,Poland,95.80,98.32,94.12
RÜHLE Heide,Greens/EFA,Germany,98.27,98.31,87.86
DOMENICI Leonardo,S&D,Italy,98.03,98.31,92.03
HÖKMARK Gunnar,EPP,Sweden,81.74,98.30,80.81
KALFIN Ivailo,S&D,Bulgaria,95.87,98.29,84.96
SÂRBU Daciana Octavia,S&D,Romania,97.41,98.29,75.98
AYUSO Pilar,EPP,Spain,95.90,98.29,77.46
